iter	Passed	Remaining
0	441	441302
1	708	353468
2	975	324161
3	1292	321824
4	1614	321210
5	1937	321012
6	2220	314944
7	2492	309101
8	2867	315696
9	3344	331115
10	3938	354144
11	4540	373850
12	5380	408483
13	5758	405541
14	6125	402244
15	6471	398002
16	6785	392332
17	7087	386686
18	7351	379562
19	7644	374579
20	8105	377884
21	8454	375836
22	9000	382306
23	9352	380322
24	9659	376706
25	9920	371624
26	10184	367035
27	10494	364320
28	10762	360351
29	11038	356911
30	11299	353185
31	11606	351087
32	11875	347983
33	12168	345717
34	12464	343669
35	12772	342027
36	13139	341981
37	13520	342272
38	13931	343274
39	14306	343364
40	14689	343594
41	15047	343236
42	15372	342133
43	15712	341395
44	16090	341473
45	16400	340128
46	16757	339785
47	17096	339077
48	17395	337619
49	17842	339015
50	18330	341092
51	18831	343306
52	19212	343282
53	19759	346163
54	20213	347312
55	20536	346179
56	20820	344446
57	21107	342817
58	21381	341022
59	21664	339418
60	21948	337868
61	22219	336166
62	22489	334483
63	22776	333107
64	23091	332165
65	23388	330975
66	23699	330022
67	24042	329524
68	24362	328717
69	24694	328077
70	24958	326570
71	25253	325491
72	25578	324811
73	25889	323969
74	26221	323393
75	26520	322438
76	26828	321598
77	27331	323073
78	27826	324408
79	28270	325111
80	28604	324535
81	29158	326429
82	29489	325802
83	29797	324937
84	30155	324614
85	30488	324030
86	30828	323524
87	31157	322904
88	31457	322002
89	31864	322180
90	32356	323211
91	32839	324111
92	33159	323392
93	33529	323169
94	34131	325148
95	34563	325474
96	35151	327234
97	35493	326689
98	35845	326231
99	36166	325498
100	36468	324605
101	36818	324148
102	37566	327154
103	38077	328050
104	38759	330376
105	39398	332287
106	39678	331145
107	40019	330534
108	40300	329425
109	40567	328226
110	40854	327203
111	41190	326584
112	41504	325790
113	41794	324822
114	42070	323759
115	42431	323358
116	42767	322768
117	43074	321962
118	43397	321289
119	43746	320805
120	44086	320261
121	44411	319616
122	44741	319013
123	45063	318349
124	45408	317861
125	45722	317157
126	46040	316483
127	46192	314684
128	46565	314410
129	46917	313987
130	47252	313451
131	47572	312828
132	47911	312326
133	48240	311763
134	48525	310925
135	48933	310869
136	49347	310851
137	49727	310617
138	50147	310627
139	50695	311413
140	51150	311620
141	51587	311706
142	52033	311835
143	52424	311636
144	52817	311440
145	53092	310552
146	53387	309791
147	53711	309201
148	54020	308534
149	54317	307797
150	54651	307281
151	54967	306660
152	55263	305933
153	55534	305079
154	55838	304410
155	56108	303560
156	56390	302786
157	56637	301828
158	56987	301425
159	57391	301307
160	57726	300821
161	58082	300450
162	58317	299460
163	58642	298931
164	58912	298134
165	59189	297372
166	59449	296537
167	59752	295914
168	60041	295233
169	60294	294377
170	60535	293474
171	60793	292659
172	61025	291723
173	61297	290986
174	61558	290204
175	61832	289490
176	62154	288999
177	62434	288320
178	62682	287501
179	62960	286818
180	63230	286110
181	63503	285416
182	63788	284784
183	64039	284001
184	64308	283304
185	64548	282484
186	64689	281242
187	64974	280635
188	65233	279919
189	65489	279190
190	65752	278503
191	66029	277875
192	66313	277281
193	66590	276660
194	66883	276109
195	67200	275660
